bar,address
Lorellin,"4696 Robin Woods Lane NortheastShimek, Iowa City, Iowa"
Riverside Theatre,"119 East College Street, Iowa City, Iowa"
Taco Loco Mexican Bar & Grill,"1755 Boyrum Street, Iowa City, Iowa"
Camp,"217 Iowa Avenue, Iowa City, Iowa"
J & S Express,"2221 Rochester AvenueHoover, Iowa City, Iowa"
The Molly and Adam Wedding,"4696 Robin Woods Lane NortheastShimek, Iowa City, Iowa"
"ND Express, Inc","2790 North Dodge StreetShimek, Iowa City, Iowa"
Scouts Honor,"219 Iowa Avenue, Iowa City, Iowa"
University of Iowa,"202 Plaza Centre One, Iowa City, Iowa"
Burger Haul,"112 E. College Street, Iowa City, Iowa"
Jenna Miller,"4275 Oak Crest Hill Road SoutheastHills, Iowa City, Iowa"
FilmScene,"404 East College Street, Iowa City, Iowa"
Okoboji Wines (South Portion of Bldg),"3570 Dolphin Ct Unit A, Iowa City, Iowa"
Friends of the Animal Center Foundation,"328 South Clinton StreetLongfellow, Iowa City, Iowa"
"Club Car, The","122 Wright St., Iowa City, Iowa"
FilmScene,"404 East College Street, Iowa City, Iowa"
Quinton's Bar and Deli,"215 E. Washington St, Iowa City, Iowa"
THE TIPSY TRAVELERS,"4696 Robin Woods Lane NortheastShimek, Iowa City, Iowa"
Kum & Go # 51,"323 E Burlington St, Iowa City, Iowa"
Johnson County Fair,"4261 Oak Crest Hill Road SoutheastHills, Iowa City, Iowa"
Oaknoll East,"2640 N Scott Blvd., Iowa City, Iowa"
Coa Cantina Iowa City,"18 1/2 South Clinton Street, Iowa City, Iowa"
Pullman,"17 South Dubuque St., Iowa City, Iowa"
Blackstone,"503 Westbury DriveLemme, Iowa City, Iowa"
THE BOX,"525 South Gilbert Street, Iowa City, Iowa"
Buffalo Wild Wings,"201 S Clinton St, Iowa City, Iowa"
"The Celebration Farm, LLC","4696 Robin Woods Lane Northeast, Iowa City, Iowa"
OYAMA SUSHI,"1853 LOWER MUSCATINE RD., Iowa City, Iowa"
Wilson's Orchard,"4823 Dingleberry Road Northeast, Iowa City, Iowa"
Buffalo Wild Wings,"201 S Clinton St, Iowa City, Iowa"
Sumo Sushi & Bar,"122 E. Washington Street, Iowa City, Iowa"
"On The Go Convenience Stores, Inc.","2315 Muscatine Ave, Iowa City, Iowa"
MEXICO LINDO GRILL & CANTINA,"1857 LOWER MUSCATINE RD, Iowa City, Iowa"
MEXICO LINDO GRILL & CANTINA,"1857 LOWER MUSCATINE RD, Iowa City, Iowa"
MEXICO LINDO GRILL & CANTINA,"1857 LOWER MUSCATINE RD, Iowa City, Iowa"
Marriage of Dustin Sanboeuf and Sarah Murphy,"4696 Robin Woods Ln NE, Iowa City, Iowa"
Buffo Naberhaus Wedding,"4696 Robins Woods Lane NE, Iowa City, Iowa"
Mallory Brandt Wedding,"4696 Robin Woods Lane NE Celebration Farm, Iowa City, Iowa"
Valdez Wedding,"4696 Robin Woods Lane NE, Iowa City, Iowa"
Mary Martin,"4696 Robin Woods Lane NE, Iowa City, Iowa"
Missipi Brewing Company,"4696 Robin Woods Lane NE, Iowa City, Iowa"
Mosley's,"525 S Gilbert ST, Iowa City, Iowa"
Finkbine Golf Course,"1380 Melrose Avenue, Iowa City, Iowa"
